,country_id,country_name,locality_id,locality_name,market_id,market_name,commodityID,commodity,currency_id,currency_name,market_typeID,market_type,measurement_id,unit_goods_measurement,month,year,price,Source
434801,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2015,13360.0,"FEWS NET, Nigeria"
434802,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2016,14000.0,"FEWS NET, Nigeria"
434803,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2016,14000.0,"FEWS NET, Nigeria"
434804,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2016,16400.0,"FEWS NET, Nigeria"
434805,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2016,18400.0,"FEWS NET, Nigeria"
434806,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2016,22400.0,"FEWS NET, Nigeria"
434807,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,6,2016,23504.0,"FEWS NET, Nigeria"
434808,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2016,26300.0,"FEWS NET, Nigeria"
434809,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2016,27824.0,"FEWS NET, Nigeria"
434810,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2016,26380.0,"FEWS NET, Nigeria"
434811,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2016,21600.0,"FEWS NET, Nigeria"
434812,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2016,24880.0,"FEWS NET, Nigeria"
434813,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2016,26900.0,"FEWS NET, Nigeria"
434814,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2017,30500.0,"FEWS NET, Nigeria"
434815,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2017,26300.0,"FEWS NET, Nigeria"
434816,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2017,32000.0,FEWSNET
434817,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2017,30100.0,FEWS NET
434818,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2017,31520.0,FEWS NET
435250,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2015,15800.0,"FEWS NET, Nigeria"
435251,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2015,15800.0,"FEWS NET, Nigeria"
435252,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2015,15800.0,"FEWS NET, Nigeria"
435253,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2015,15800.0,"FEWS NET, Nigeria"
435254,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2015,15800.0,"FEWS NET, Nigeria"
435255,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2015,14250.0,"FEWS NET, Nigeria"
435256,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2015,15000.0,"FEWS NET, Nigeria"
435257,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2015,12000.0,"FEWS NET, Nigeria"
435258,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2015,12000.0,"FEWS NET, Nigeria"
435259,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2015,12000.0,"FEWS NET, Nigeria"
435260,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2016,15000.0,"FEWS NET, Nigeria"
435261,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2016,16500.0,"FEWS NET, Nigeria"
435262,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2016,18000.0,"FEWS NET, Nigeria"
435263,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2016,20500.0,"FEWS NET, Nigeria"
435264,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2016,24650.0,"FEWS NET, Nigeria"
435265,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,6,2016,29440.0,"FEWS NET, Nigeria"
435266,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2016,28900.0,"FEWS NET, Nigeria"
435267,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2016,28800.0,"FEWS NET, Nigeria"
435268,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2016,27900.0,"FEWS NET, Nigeria"
435269,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2016,23700.0,"FEWS NET, Nigeria"
435270,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2016,27160.0,"FEWS NET, Nigeria"
435271,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2016,29100.0,"FEWS NET, Nigeria"
435272,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2017,30000.0,"FEWS NET, Nigeria"
435273,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2017,30400.0,"FEWS NET, Nigeria"
435274,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2017,31700.0,FEWSNET
435275,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2017,33275.0,FEWS NET
435276,182,Nigeria,2240,Yobe,1969,Damaturu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2017,31040.0,FEWS NET
435727,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2014,15500.0,"FEWS NET, Nigeria"
435728,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2014,14875.0,"FEWS NET, Nigeria"
435729,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2014,13230.0,"FEWS NET, Nigeria"
435730,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2014,10375.0,"FEWS NET, Nigeria"
435731,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2014,10604.0,"FEWS NET, Nigeria"
435732,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2014,11408.0,"FEWS NET, Nigeria"
435733,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2015,12260.0,"FEWS NET, Nigeria"
435734,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2015,11940.0,"FEWS NET, Nigeria"
435735,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2015,12472.0,"FEWS NET, Nigeria"
435736,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2015,13790.0,"FEWS NET, Nigeria"
435737,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2015,13720.0,"FEWS NET, Nigeria"
435738,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,6,2015,13770.0,"FEWS NET, Nigeria"
435739,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2015,12544.0,"FEWS NET, Nigeria"
435740,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2015,13400.0,"FEWS NET, Nigeria"
435741,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2015,15696.0,"FEWS NET, Nigeria"
435742,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2015,12460.0,"FEWS NET, Nigeria"
435743,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2015,11980.0,"FEWS NET, Nigeria"
435744,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2015,12796.0,"FEWS NET, Nigeria"
435745,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2016,14090.0,"FEWS NET, Nigeria"
435746,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2016,15820.0,"FEWS NET, Nigeria"
435747,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2016,17696.0,"FEWS NET, Nigeria"
435748,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2016,17780.0,"FEWS NET, Nigeria"
435749,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2016,22440.0,"FEWS NET, Nigeria"
435750,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,6,2016,25648.0,"FEWS NET, Nigeria"
435751,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2016,25420.0,"FEWS NET, Nigeria"
435752,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2016,25680.0,"FEWS NET, Nigeria"
435753,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2016,25400.0,"FEWS NET, Nigeria"
435754,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2016,24400.0,"FEWS NET, Nigeria"
435755,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2016,25088.0,"FEWS NET, Nigeria"
435756,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2016,27820.0,"FEWS NET, Nigeria"
435757,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2017,31000.0,"FEWS NET, Nigeria"
435758,182,Nigeria,2226,Katsina,1970,Dandume,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2017,27700.0,FEWS NET
436283,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2014,13000.0,"FEWS NET, Nigeria"
436284,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2014,12750.0,"FEWS NET, Nigeria"
436285,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2014,13620.0,"FEWS NET, Nigeria"
436286,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2014,14280.0,"FEWS NET, Nigeria"
436287,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2014,13940.0,"FEWS NET, Nigeria"
436288,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2014,13920.0,"FEWS NET, Nigeria"
436289,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2015,13760.0,"FEWS NET, Nigeria"
436290,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2015,14000.0,"FEWS NET, Nigeria"
436291,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2015,14156.0,"FEWS NET, Nigeria"
436292,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2015,15145.0,"FEWS NET, Nigeria"
436293,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2015,15600.0,"FEWS NET, Nigeria"
436294,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,6,2015,14460.0,"FEWS NET, Nigeria"
436295,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2015,14000.0,"FEWS NET, Nigeria"
436296,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2015,14000.0,"FEWS NET, Nigeria"
436297,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2015,14360.0,"FEWS NET, Nigeria"
436298,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2015,13250.0,"FEWS NET, Nigeria"
436299,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2015,13750.0,"FEWS NET, Nigeria"
436300,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2015,13888.0,"FEWS NET, Nigeria"
436301,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2016,13970.0,"FEWS NET, Nigeria"
436302,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2016,14345.0,"FEWS NET, Nigeria"
436303,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2016,18488.0,"FEWS NET, Nigeria"
436304,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2016,23950.0,"FEWS NET, Nigeria"
436305,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2016,26340.0,"FEWS NET, Nigeria"
436306,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,6,2016,28704.0,"FEWS NET, Nigeria"
436307,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2016,29200.0,"FEWS NET, Nigeria"
436308,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2016,29424.0,"FEWS NET, Nigeria"
436309,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2016,25000.0,"FEWS NET, Nigeria"
436310,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2016,26800.0,"FEWS NET, Nigeria"
436311,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2016,27460.0,"FEWS NET, Nigeria"
436312,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2016,29600.0,"FEWS NET, Nigeria"
436313,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2017,32000.0,"FEWS NET, Nigeria"
436314,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2017,32000.0,"FEWS NET, Nigeria"
436315,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2017,24800.0,FEWSNET
436316,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2017,27125.0,FEWS NET
436317,182,Nigeria,2224,Kaduna,1971,Giwa,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2017,29300.0,FEWS NET
436848,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2014,13000.0,"FEWS NET, Nigeria"
436849,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2014,13250.0,"FEWS NET, Nigeria"
436850,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2014,13200.0,"FEWS NET, Nigeria"
436851,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2014,11750.0,"FEWS NET, Nigeria"
436852,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2014,11625.0,"FEWS NET, Nigeria"
436853,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2014,11600.0,"FEWS NET, Nigeria"
436854,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2015,11375.0,"FEWS NET, Nigeria"
436855,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2015,11750.0,"FEWS NET, Nigeria"
436856,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2015,11100.0,"FEWS NET, Nigeria"
436857,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2015,11875.0,"FEWS NET, Nigeria"
436858,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2015,12125.0,"FEWS NET, Nigeria"
436859,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,6,2015,12000.0,"FEWS NET, Nigeria"
436860,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2015,12200.0,"FEWS NET, Nigeria"
436861,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2015,12000.0,"FEWS NET, Nigeria"
436862,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2015,14800.0,"FEWS NET, Nigeria"
436863,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2015,14250.0,"FEWS NET, Nigeria"
436864,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2015,10875.0,"FEWS NET, Nigeria"
436865,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2015,12200.0,"FEWS NET, Nigeria"
436866,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2016,12500.0,"FEWS NET, Nigeria"
436867,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2016,14750.0,"FEWS NET, Nigeria"
436868,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2016,18000.0,"FEWS NET, Nigeria"
436869,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2016,19875.0,"FEWS NET, Nigeria"
436870,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2016,21750.0,"FEWS NET, Nigeria"
436871,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,6,2016,24300.0,"FEWS NET, Nigeria"
436872,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2016,24750.0,"FEWS NET, Nigeria"
436873,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2016,28400.0,"FEWS NET, Nigeria"
436874,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2016,23750.0,"FEWS NET, Nigeria"
436875,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2016,21500.0,"FEWS NET, Nigeria"
436876,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2016,24400.0,"FEWS NET, Nigeria"
436877,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2016,26000.0,"FEWS NET, Nigeria"
436878,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2017,26250.0,"FEWS NET, Nigeria"
436879,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2017,24500.0,"FEWS NET, Nigeria"
436880,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2017,27800.0,FEWSNET
436881,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2017,26000.0,FEWS NET
436882,182,Nigeria,65704,Gombe,1972,Gombe,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2017,26200.0,FEWS NET
437430,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2014,14400.0,"FEWS NET, Nigeria"
437431,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2014,14220.0,"FEWS NET, Nigeria"
437432,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2014,14080.2,"FEWS NET, Nigeria"
437433,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2014,14080.0,"FEWS NET, Nigeria"
437434,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2014,14080.0,"FEWS NET, Nigeria"
437435,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,12,2014,14820.0,"FEWS NET, Nigeria"
437436,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2015,13485.0,"FEWS NET, Nigeria"
437437,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2015,14000.0,"FEWS NET, Nigeria"
437438,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2015,14000.0,"FEWS NET, Nigeria"
437439,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2015,14000.0,"FEWS NET, Nigeria"
437440,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2015,14630.0,"FEWS NET, Nigeria"
437441,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,6,2015,14480.0,"FEWS NET, Nigeria"
437442,182,Nigeria,2223,Jigawa,1973,Gujungu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,7,2015,14000.0,"FEWS NET, Nigeria"
